dc:identifier,dc:title,dc:creator,prism:coverDate,prism:doi,citedby-count,affiliation,subtypeDescription,abstract
85175088951,The Impact of Data Science Solutions on the Company Turnover,Cristescu M.P.,2023-10-01,10.3390/info14100573,0,Universitatea Lucian Blaga din Sibiu,Article,
85176411506,"A Mathematical Model for Customer Segmentation Leveraging Deep Learning, Explainable AI, and RFM Analysis in Targeted Marketing",Talaat F.M.,2023-09-01,10.3390/math11183930,2,Faculty of Computer Science and Engineering,Article,
85172136384,A New Big Data Processing Framework for the Online Roadshow,Leow K.R.,2023-09-01,10.3390/bdcc7030123,2,Multimedia University,Article,
85170378356,Personalized Advertising Design Based on Automatic Analysis of an Individual’s Appearance,Moreno-Armendáriz M.A.,2023-09-01,10.3390/app13179765,4,Instituto Politécnico Nacional,Article,
85170036976,Automated cluster generation and labelling of peer groups for marketing reporting,Crisp D.,2023-09-01,,0,OneMagnify,Article,
85170025559,Are your brand-building efforts really working? A new analytical approach for assessing and growing your brand,Seale E.,2023-09-01,,0,"Knowledge Lab,The University of Chicago",Article,
85166291581,Inventory competition and quality improvement decisions in dual-channel supply chains with data-driven marketing,Xu S.,2023-09-01,10.1016/j.cie.2023.109452,4,School of Business,Article,
85159813239,Inventory Management With Multisource Heterogeneous Information: Roles of Representation Learning and Information Fusion,Chen Z.Y.,2023-09-01,10.1109/TSMC.2023.3267858,1,"School of Business Administration, Northeastern University",Article,
85152913493,Artificial intelligence-based lead propensity prediction,Jadli A.,2023-09-01,10.11591/ijai.v12.i3.pp1281-1290,1,Hassan II University of Casablanca,Article,
85148081915,Agencing the digitalised marketer: Exploring the boundary workers at the cross-road of (e)merging markets,Ryan A.,2023-09-01,10.1177/14705931231153194,3,University of Limerick,Article,
85152095147,A machine learning model for predicting innovation effort of firms,Rani R.,2023-08-01,10.11591/ijece.v13i4.pp4633-4639,3,Council of Indian Institutes of Information Technology,Article,
85134571967,How to Maximize Clicks for Display Advertisement in Digital Marketing? A Reinforcement Learning Approach,Singh V.,2023-08-01,10.1007/s10796-022-10314-0,19,Universität Siegen,Article,
85118672184,Facilitators and Barriers of Artificial Intelligence Adoption in Business – Insights from Opinions Using Big Data Analytics,Kar A.K.,2023-08-01,10.1007/s10796-021-10219-4,35,Indian Institute of Technology Delhi,Article,
85174635432,The after party: Cynical resignation in Adtech's pivot to privacy,McGuigan L.,2023-07-01,10.1177/20539517231203665,1,The University of North Carolina at Chapel Hill,Article,
85165444201,Data driven analysis of social capital in Farmer Producer Companies,Jayaraman A.,2023-07-01,10.1016/j.heliyon.2023.e17489,2,Indian Institute of Technology Madras,Article,
85164947469,"BullVal$: An Integrated Decision-Support Tool for Predicting the Net Present Value of a Dairy Bull Based on Genetic Merit, Semen Production Potential, and Demographic Factors",Gorr A.Q.,2023-07-01,10.3390/ani13132062,0,University of Wisconsin-Madison,Article,
85164829959,Cold Start to Improve Market Thickness on Online Advertising Platforms: Data-Driven Algorithms and Field Experiments,Ye Z.,2023-07-01,10.1287/mnsc.2022.4550,5,University of Illinois Urbana-Champaign,Article,
85144682081,MCGM: A multi-channel CTR model with hierarchical gated mechanism for precision marketing,Jiang Z.,2023-07-01,10.1007/s11280-022-01125-z,1,Guizhou University of Finance and Economics,Article,
85161507113,From the land of Gama: event attachment scale (EAS) development exploring fans' attachment and their intentions to spectate at traditional gaming events,Rehman J.,2023-06-27,10.1108/IJEFM-10-2022-0079,0,GIFT University,Article,
85151350286,Modelplasticity and abductive decision making,Mukhopadhyay S.,2023-06-01,10.1007/s10203-023-00390-5,0,,Article,
85112555264,Gender difference in visual attention to digital content of place-based advertising: a data-driven scientific approach,Suh T.,2023-06-01,10.1007/s10660-021-09494-9,3,McCoy College of Business,Article,
85152296734,Data-driven human resource and data-driven talent management in internal and recruitment communication strategies: an empirical survey on Italian firms and insights for European context,Conte F.,2023-05-30,10.1108/CCIJ-02-2022-0012,2,Università degli Studi di Salerno,Article,
85149781649,Technology-enabled well-being in the era of IR4.0: marketing and public policy implications,Roy A.,2023-05-04,10.1108/JCM-11-2021-5021,0,The University of Scranton,Article,
85162174231,The influence of websites user engagement on the development of digital competitive advantage and digital brand name in logistics startups,Sakas D.P.,2023-05-01,10.1016/j.iedeen.2023.100221,3,Agricultural University of Athens,Article,
85152645561,Capabilities for data-driven innovation in B2B industrial companies,Eriksson T.,2023-05-01,10.1016/j.indmarman.2023.04.005,5,Turun Kauppakorkeakoulu,Article,
85147950554,Application of NIR spectroscopy coupled with DD-SIMCA class modelling for the authentication of pork meat,Totaro M.P.,2023-05-01,10.1016/j.jfca.2023.105211,3,Università degli studi di Bari Aldo Moro,Article,
85131170892,"Marketing competency, marketing innovation and sustainable competitive advantage of small and medium enterprises (SMEs): a mixed-method analysis",Olazo D.B.,2023-04-04,10.1108/APJML-01-2022-0050,11,Holy Angel University,Article,
85141471843,A machine learning-based approach for vital node identification in complex networks,Asgharian Rezaei A.,2023-03-15,10.1016/j.eswa.2022.119086,20,RMIT University,Article,
85147310088,Decisions of pricing and delivery-lead-time in dual-channel supply chains with data-driven marketing using internal financing and contract coordination,Xu S.,2023-03-09,10.1108/IMDS-07-2022-0436,3,School of Business,Article,
85147450405,“Hacking marketing”: how do firms develop marketers' expertise and practices in a digital era?,Hafezieh N.,2023-03-07,10.1108/JEIM-12-2021-0530,0,"Royal Holloway, University of London",Article,
85145257650,Basket data-driven approach for omnichannel demand forecasting,Omar H.,2023-03-01,10.1016/j.ijpe.2022.108748,5,KEDGE Business School,Article,
85144436492,Low-dimensional representation of monthly electricity demand profiles,Luque J.,2023-03-01,10.1016/j.engappai.2022.105728,3,Universidad de Sevilla,Article,
85137071821,Data-driven method development and evaluation for indie mobile game publishing,Su Y.,2023-03-01,10.1007/s11042-022-13688-0,0,Högskolan i Skövde,Article,
85148696340,Green Agricultural Products Supply Chain Subsidy Scheme with Green Traceability and Data-Driven Marketing of the Platform,Wang X.,2023-02-01,10.3390/ijerph20043056,3,Qingdao University,Article,
85142719347,"Removing silos to enable data-driven decisions: The importance of marketing and IT knowledge, cooperation, and information quality",Sleep S.,2023-02-01,10.1016/j.jbusres.2022.113471,9,Kennesaw State University,Article,
85135185360,"A Hybrid Method for Customer Segmentation in Saudi Arabia Restaurants Using Clustering, Neural Networks and Optimization Learning Techniques",Alghamdi A.,2023-02-01,10.1007/s13369-022-07091-y,6,Najran University,Article,
85105958027,Shaping a Smart Transportation System for Sustainable Value Co-Creation,Zhang J.,2023-02-01,10.1007/s10796-021-10139-3,12,Edinburgh Napier University Business School,Article,
85135981657,The challenges of B2B innovation: using marketing analytics to plan and implement a successful digital catalog adoption,Wilson R.D.,2023-01-20,10.1108/JBIM-12-2021-0598,4,Michigan State University,Article,
85180663153,Diversity representation in advertising,Campbell C.,2023-01-01,10.1007/s11747-023-00994-8,1,University of San Diego,Article,
85180280918,Unleashing the Power of Big Data: Designing a Robust Business Intelligence Framework for E-commerce Data Analytics,Ye X.,2023-01-01,10.55267/iadt.07.13946,1,Angeles University Foundation,Article,
85179938603,Exploring the impact of InsurTech adoption in Indian life insurance industry: a customer satisfaction perspective,Kaur P.,2023-01-01,10.1108/TQM-06-2023-0186,0,Lovely Professional University,Article,
85177554599,The interplay between sales and marketing expenditures: an econometric approach in the B2B market,Baidya M.,2023-01-01,10.1108/JBIM-01-2023-0047,0,"Amrita Vishwa Vidyapeetham University, Bangalore",Article,
85176739909,"Underpinning Terroir with Data: Integrating Vineyard Performance Metrics with Soil and Climate Data to Better Understand Within-Region Variation in Marlborough, New Zealand",Bramley R.G.V.,2023-01-01,10.1155/2023/8811402,0,Commonwealth Scientific and Industrial Research Organisation,Article,
85174819123,Exploring the Impact of Data Quality on Business Performance in CRM Systems for Home Appliance Business,Suh Y.,2023-01-01,10.1109/ACCESS.2023.3325892,0,"LG Electronics, Korea",Article,
85174150129,Innovative Integration of Embedded Voice and Digital Forensics Systems for Optimal Financial Cost Management: Commercialization and MarketingStrategies,Chen M.,2023-01-01,10.5912/jcb2085,0,Anhui Audit College,Article,
85171631615,Implementing Google Tag Manager (GTM) in library websites,Kulkarni A.M.,2023-01-01,10.1108/LHTN-08-2023-0150,0,Alagappa University,Article,
85164526879,Future-proofing Search Engine Marketing: An Empirical Investigation of Effects of Search Engine Results on Consumer Purchase Decisions,Diwanji V.S.,2023-01-01,10.1080/0965254X.2023.2229343,4,University of Kansas,Article,
85164476265,Rethinking the role of uncertainty and risk in Marketing,Grimaldi D.,2023-01-01,10.1080/12460125.2023.2232570,1,Universitat Ramon Llull,Article,
85159344818,Shooting for the stars: What are the topics of reviews that affect star ratings?,Ahmad S.N.,2023-01-01,10.1002/cjas.1719,1,Morgan State University,Article,
85153726928,Developing personas for live streaming commerce platforms with user survey data,Zhong R.,2023-01-01,10.1007/s10209-023-00996-x,3,Jiangnan University,Article,
85151979523,Configuring Relationships between Analytics and Business Domain Groups for Knowledge Integration,Someh I.,2023-01-01,10.17705/1jais.00782,3,The University of Queensland,Article,
85150013721,Social media advertising for clinical studies: Ethical and data protection implications of online targeting,Mühlhoff R.,2023-01-01,10.1177/20539517231156127,2,Osnabrück University,Article,
85149727107,Defining content marketing and its influence on online user behavior: a data-driven prescriptive analytics method,Barbosa B.,2023-01-01,10.1007/s10479-023-05261-1,28,Universidade do Porto,Article,
85148294493,Hamiltonian sequential Monte Carlo with application to consumer choice behavior,Burda M.,2023-01-01,10.1080/07474938.2022.2140982,0,University of Toronto,Article,
85146193113,How causal machine learning can leverage marketing strategies: Assessing and improving the performance of a coupon campaign,Langen H.,2023-01-01,10.1371/journal.pone.0278937,5,Helsingin Yliopisto,Article,
85144619207,Artificial intelligence and resource optimization: A study of Fintech start-ups,Almansour M.,2023-01-01,10.1016/j.resourpol.2022.103250,15,Al-Imam Muhammad Ibn Saud Islamic University,Article,
85138160667,A NEW DATA-DRIVEN ROBUST OPTIMIZATION APPROACH TO MULTI-ITEM NEWSBOY PROBLEMS,Kou Y.,2023-01-01,10.3934/jimo.2021180,5,Central South University,Article,
85122651072,Emojis: can it reduce post-purchase dissonance?,Indwar R.G.,2023-01-01,10.1080/0965254X.2021.2013935,5,Indian Institute of Management Ranchi,Article,
85113231418,Digital marketing in SMEs via data-driven strategies: Reviewing the current state of research,Saura J.R.,2023-01-01,10.1080/00472778.2021.1955127,27,Universidad Rey Juan Carlos,Article,
85150773802,Data-driven influencer marketing strategy analysis and prediction based on social media and Google Analytics data,Purba K.R.,2022-12-01,,0,University of Southampton,Article,
85150730326,Knowing the levers to pull to measure and optimise digital marketing performance,Russo E.L.,2022-12-01,,0,Digivizer Pty Ltd,Article,
85146845031,Studying the Relationship between Artificial Intelligence and Digital Advertising in Marketing Strategy,Sabharwal D.,2022-12-01,10.31620/JCCC.12.22/10,2,Sharda University,Article,
85143386178,Managing Creativity in the Age Of Data-Driven Marketing Communication A Model for Agencies to Improve Their Distribution and Valuation of Creativity,Kallevig A.,2022-12-01,10.2501/JAR-2022-025,2,Kristiania University College,Article,
85139122605,"Analyzing the past, improving the future: a multiscale opinion tracking model for optimizing business performance",Sigari S.,2022-12-01,10.1057/s41599-022-01325-y,3,Bloomberg L.P.,Article,
85131628298,Development of a digital platform to improve community response to overdose and prevention among harm reduction organizations,Claborn K.,2022-12-01,10.1186/s12954-022-00636-2,5,The University of Texas at Austin,Article,
85125323281,"Benefits, challenges and future developments in digital analytics in German-speaking countries: An empirical analysis",Zumstein D.,2022-12-01,,5,ZHAW Zurich University of Applied Sciences,Article,
85123064990,Automatic customer targeting: a data mining solution to the problem of asymmetric profitability distribution,Rogić S.,2022-12-01,10.1007/s10799-021-00353-5,1,University of Montenegro,Article,
85133901488,Obese customers’ fitness goal disclosure on social media: exploring weight-loss image sharing on emotions and healthy lifestyle aspirations,Singh G.,2022-11-30,10.1108/EJM-07-2021-0518,7,University of the South Pacific,Article,
85144759309,How to Use the Six-Step Digital Ethnography Framework to Develop Buyer Personas: The Case of Fan Fit,Fenton A.,2022-11-01,10.2196/41489,1,Chester Business School,Article,
85141847366,A Machine Learning-Based 10 Years Ahead Prediction of Departing Foreign Visitors by Reasons: A Case on Türkiye,Tutsoy O.,2022-11-01,10.3390/app122111163,6,Adana Alparslan Türkeş Science and Technology University,Article,
85135975694,Promotional Predictive Marketing: User Centric Data Driven Approach,Tokdar S.,2022-11-01,10.1007/s42979-022-01342-3,2,B.P. Poddar Institute of Management and Technology,Article,
85135941934,Consequences of personalized product recommendations and price promotions in online grocery shopping,Hallikainen H.,2022-11-01,10.1016/j.jretconser.2022.103088,24,Itä-Suomen yliopisto,Article,
85135134847,Privacy controls as an information source to reduce data poisoning in artificial intelligence-powered personalization,Cloarec J.,2022-11-01,10.1016/j.jbusres.2022.07.045,12,Université Jean Moulin Lyon 3,Article,
85135008520,A Test for Product Design Features Perceived as Sustainable to Drive Online Purchasing Decisions,El Dehaibi N.,2022-11-01,10.1115/1.4054873,0,Stanford Engineering,Article,
85132760597,How to improve learning experience in MOOCs an analysis of online reviews of business courses on Coursera,Wei X.,2022-11-01,10.1016/j.ijme.2022.100675,11,Mahidol University,Article,
85131232411,Data-Driven Usability Assessment Model for Smartphones: A Causal Analytic Approach,Bulak M.E.,2022-11-01,10.1142/S0219877022500286,2,Üsküdar Üniversitesi,Article,
85131186483,VAERS-reported new-onset seizures following use of COVID-19 vaccinations as compared to influenza vaccinations,Avasarala J.,2022-11-01,10.1111/bcp.15415,6,UK Albert B. Chandler Hospital,Article,
85140480060,Electric Vehicle Batteries: Status and Perspectives of Data-Driven Diagnosis and Prognosis,Zhao J.,2022-10-01,10.3390/batteries8100142,26,"University of California, Davis",Article,
85137406820,"Marketing analytics capability, artificial intelligence adoption, and firms' competitive advantage: Evidence from the manufacturing industry",Hossain M.A.,2022-10-01,10.1016/j.indmarman.2022.08.017,36,Faculty of Business and Economics,Article,
85139002683,Resource integration capabilities to enable platform complementarity in healthcare service ecosystem co-creation,Pikkarainen M.,2022-09-30,10.1108/BJM-11-2021-0436,3,Oulu Business School,Article,
85150898907,The Future of Destination Marketing Organizations in the Insight Era,Huang A.,2022-09-01,10.3390/tourhosp3030049,6,Rosen College of Hospitality Management,Article,
85147137662,Broadband usage for rural communities in the North Island of Aotearoa New Zealand,Xiang M.,2022-09-01,10.23919/ICN.2022.0021,0,Ministry of Natural Resources of the People's Republic of China,Article,
85137447502,How data remediation and stewardship is becoming a standard responsibility for regulatory operations professionals,Squire J.,2022-09-01,,0,Syneos Health,Article,
85136918195,Using Natural Language Processing to Identify Effective Influencers,Fang X.,2022-09-01,10.1177/14707853221101565,0,Tongji University,Article,
85134586603,When Less is More: A Short-form Tool to Increase Segmentation Implementation,Carins J.,2022-09-01,10.1177/15245004221116082,1,Griffith Business School,Article,
85119987470,Artificial intelligence in customer-facing financial services: a systematic literature review and agenda for future research,Hentzen J.K.,2022-09-01,10.1108/IJBM-09-2021-0417,51,The Adelaide Business School,Article,
85137810525,The impacts of data-driven marketing on manufacturer's platform mode selection,Liu Z.,2022-08-01,10.12011/SETP2021-2783,2,Southwest Jiaotong University,Article,
85137239741,Green R&amp;D Financing Strategy in Platform Supply Chain with Data-Driven Marketing,Xia Y.,2022-08-01,10.3390/su14159172,3,Qingdao University,Article,
85136490081,Government Subsidy Policy and Online Selling Strategy in a Platform Supply Chain with Green R&amp;D and DDM Activities,Mu Z.,2022-08-01,10.3390/su14159658,8,Qingdao University,Article,
85134072112,HOW MARKETERS CAN INCREASE THE RELEVANCE OF EMAIL MARKETING CAMPAIGNS: DATA ANALYSIS WITH MACHINE LEARNING METHODS,Abakouy R.,2022-07-15,,2,Université Abdelmalek Essaadi,Article,
85109735503,Destination Marketing: Optimizing Resource Allocation Using Modern Portfolio Theory,Johar K.,2022-07-01,10.1177/00472875211025099,7,UNSW Sydney,Article,
85131835713,Machine Learning Algorithms Used in PSE Environments: A Didactic Approach and Critical Perspective,Fuentes-Cortés L.F.,2022-06-29,10.1021/acs.iecr.2c00335,13,Tecnológico Nacional de México en Celaya,Article,
85118331420,The transformative impact of big data applications in sport marketing: current and future directions,Mamo Y.,2022-06-28,10.1108/IJSMS-03-2021-0073,14,Tennessee State University,Article,
